[2026-06-18T20:38:20.005+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T20:38:20.030+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.048+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-06-18T20:38:18.525468+00:00 [queued]>
[2026-06-18T20:38:20.049+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-06-18T20:38:20.766+0000] {data_modification.py:80} INFO - Update row with Video_ID: 5XbYuOPc7V8
[2026-06-18T20:38:20.768+0000] {data_modification.py:80} INFO - Update row with Video_ID: np-GXMYd4Ng
[2026-06-18T20:38:20.770+0000] {data_modification.py:80} INFO - Update row with Video_ID: Mlc5DfyvhTM
[2026-06-18T20:38:20.772+0000] {data_modification.py:80} INFO - Update row with Video_ID: Z54dy1Fpjgw
[2026-06-18T20:38:20.774+0000] {data_modification.py:80} INFO - Update row with Video_ID: KF3qj2JmeU8
[2026-06-18T20:38:20.775+0000] {data_modification.py:80} INFO - Update row with Video_ID: -QjXFEMbZsE
[2026-06-18T20:38:20.777+0000] {data_modification.py:80} INFO - Update row with Video_ID: dgOYxkaNJHs
[2026-06-18T20:38:20.779+0000] {data_modification.py:80} INFO - Update row with Video_ID: ZI4AOsuLRZE
[2026-06-18T20:38:20.781+0000] {data_modification.py:80} INFO - Update row with Video_ID: nPfc1NL-A5U
[2026-06-18T20:38:20.783+0000] {data_modification.py:80} INFO - Update row with Video_ID: SU2IOn3oXhc
[2026-06-18T20:38:20.786+0000] {data_modification.py:80} INFO - Update row with Video_ID: BjI3x5_iPi4
[2026-06-18T20:38:20.787+0000] {data_modification.py:80} INFO - Update row with Video_ID: H31V4aNJu8Y
[2026-06-18T20:38:20.789+0000] {data_modification.py:80} INFO - Update row with Video_ID: bMzo9xJyoe0
[2026-06-18T20:38:20.791+0000] {data_modification.py:80} INFO - Update row with Video_ID: szJKkx1LVRc
[2026-06-18T20:38:20.793+0000] {data_modification.py:80} INFO - Update row with Video_ID: NOTa38_6Qkw
[2026-06-18T20:38:20.795+0000] {data_modification.py:80} INFO - Update row with Video_ID: eoDw_kObIXw
[2026-06-18T20:38:20.796+0000] {data_modification.py:80} INFO - Update row with Video_ID: rQTbTfpeNTE
[2026-06-18T20:38:20.799+0000] {data_modification.py:80} INFO - Update row with Video_ID: u9VCi33FJq8
[2026-06-18T20:38:20.801+0000] {data_modification.py:80} INFO - Update row with Video_ID: Ual8HtmThJA
[2026-06-18T20:38:20.803+0000] {data_modification.py:80} INFO - Update row with Video_ID: Vpumau7Kyoc
[2026-06-18T20:38:20.805+0000] {data_modification.py:80} INFO - Update row with Video_ID: SkTBb_6jlSc
[2026-06-18T20:38:20.807+0000] {data_modification.py:80} INFO - Update row with Video_ID: BW0gkYP09y8
[2026-06-18T20:38:20.809+0000] {data_modification.py:80} INFO - Update row with Video_ID: rjKeiNwJwhY
[2026-06-18T20:38:20.811+0000] {data_modification.py:80} INFO - Update row with Video_ID: iYV-uJpNx-w
